action,world_size,number_of_steps,number_of_steps_between_file_dumps,mpi_size,omp_get_max_threads,total_time,t_io,t_io_accumulator,t_io_accumulator_average
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
mpirun -n 1 --bind-to core --map-by socket:PE=1 -report-bindings ./gameoflife.x -r -f pattern_random10000.pgm -n 100 -e 1 -s 0 -q
